Month,SMA100_AvgAnnReturn,SMA150_AvgAnnReturn,SMA200_AvgAnnReturn,BAH_AvgAnnReturn
1,0.18371203505886896,0.18227073522435885,0.1968717720164932,0.18272414793399552
2,0.19082919050468447,0.11747696055072526,0.09514794224267746,-0.036913749636858464
3,0.26317686824412595,0.3451010446755008,0.26959287934681575,0.06927070984689612
4,0.12231913223563211,0.14748073554145036,0.0927313469256894,0.15674199466612546
5,0.20015522832501342,0.1559069837538367,0.14659775909761397,0.2015645631945564
6,0.35771742024196845,0.3546657457815668,0.33032183973380647,0.2343300774355185
7,0.3289273547914906,0.3114328399027251,0.2702065457531842,0.4190265745597208
8,0.28530625913433316,0.21404191898318964,0.17048801095395114,0.12308957490438961
9,0.04498688063959237,-0.03407042088020234,-0.03407042088020234,-0.1507909846603491
10,0.20507450128917432,0.08139050934339748,0.036560390325366385,0.10918688148947667
11,0.5087366284201006,0.5449419810205365,0.5176439059663522,0.5230591360422229
12,0.17607525664965495,0.19204119216511042,0.2230504993144355,0.0039444724538996445
