strategy,bootstrap_median_cagr,bootstrap_5pct_cagr,bootstrap_95pct_cagr,bootstrap_median_max_drawdown
A_original_cefs_ief,0.11196096005967782,0.07055419224253415,0.15541447928821986,-0.1580221961329089
B_original_cefs_bil,0.1016066014349386,0.06297651111920068,0.14244450292320482,-0.15168877627300842
B2_original_cefs_sgov,0.09931223039552861,0.060439043222548026,0.14017167698743976,-0.15413365084991293
C_etfs_ief,0.07276484167942954,0.041419336653295814,0.10574968495594357,-0.1570547776724437
D_etfs_bil,0.0583725931395791,0.030400253157694734,0.08855256631133511,-0.1512988391134394
D2_etfs_sgov,0.056372607090202975,0.02817715445450355,0.08647532597289705,-0.15404005852894187
E_original_cefs_6m_ief,0.09816160235091564,0.055751455261505246,0.13870306172596392,-0.17313516605855822
F_original_cefs_12m_ief,0.06599879751782822,0.02334521327514556,0.11052135374869154,-0.22699686572432398
G_original_cefs_3_6_12m_ief,0.09048837530789344,0.0486889287646594,0.13480238712720372,-0.18525840815012967
SPY_buy_hold,0.11326987679844747,0.048925392920406,0.17383038259520006,-0.3001485781736114
CEF_equal_weight_buy_hold,0.09162017477658624,0.010543890893121155,0.16928918648312188,-0.43280692907329477
ETF_equal_weight_buy_hold,0.07785481346295753,0.020572346667987296,0.132075560044603,-0.30308811869750574
