ticker,first_month,last_month,months,missing_inside_history
ADX,2006-01-31,2026-05-31,245,0
BIL,2007-05-31,2026-05-31,229,0
Cash,2006-01-31,2026-05-31,245,0
IEF,2006-01-31,2026-05-31,245,0
KYN,2006-01-31,2026-05-31,245,0
MUB,2007-09-30,2026-05-31,225,0
NMZ,2006-01-31,2026-05-31,245,0
RQI,2006-01-31,2026-05-31,245,0
SGOV,2020-06-30,2026-05-31,72,0
SHY,2006-01-31,2026-05-31,245,0
SPY,2006-01-31,2026-05-31,245,0
TLT,2006-01-31,2026-05-31,245,0
VNQ,2006-01-31,2026-05-31,245,0
XLE,2006-01-31,2026-05-31,245,0
